name	scientificName	price	imageUrl	categoryName	company	route
ABILIFY 15 MG 10 TABS.	ARIPIPRAZOLE	330.50	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/abilify-15-mg-10-tablets-956297.jpg?v=1729196907	PSYCHIATRIC.ANTIPSYCHOTICS	OTSUKA	ORAL.SOLID
ABILIFY 5 MG 10 TABS.	ARIPIPRAZOLE	134.50	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/abilify-5-mg-10-tablets-9172616.jpg?v=1762508400	PSYCHIATRIC.ANTIPSYCHOTICS	OTSUKA	ORAL.SOLID
ABIMOL 500 MG 20 TAB.	PARACETAMOL(ACETAMINOPHEN)	24.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/abimol-500-mg-20-tablets-7308198.jpg?v=1764283687	ANTIPYRETIC	GLAXO SMITHKLINE	ORAL.SOLID
ABIMOL EXTRA 20 TAB.	CAFFEINE+PARACETAMOL(ACETAMINOPHEN)	28.00	https://demov2.egypt.dawatech.com/web/image/product.template/16570/image_1920	ANALGESIC.ANTIPYRETIC	GLAXO SMITHKLINE	ORAL.SOLID
ACETOTHYME 10 SACHETS	N-ACETYL L-CYSTEINE+THYME+VITAMIN C	65.00	https://demov2.egypt.dawatech.com/web/image/product.template/15716/image_1920	MUCOLYTIC SOOTHING AGENT AND ANTIOXIDANT	COPAD EGYPT > ADVOCURE PHARMACEUTICALS	EFF
ACHTENON 2 MG 30 TABS.	BIPERIDENE	51.00	https://demov2.egypt.dawatech.com/web/image/product.template/13778/image_1920	ANTIPARKINSON AGENTS.MUSCARINIC ANTAGONIST	ARAB DRUG COMPANY (ADCO)	ORAL.SOLID
ACNEVERA SOAP 80 GM	ALOE VERA+ZINC OXIDE+SALICYLIC ACID+SULPHUR+RESORCINOL	65.00	https://demov2.egypt.dawatech.com/web/image/product.template/13303/image_1920	ANTI-ACNE	HI-CARE > ROVAMED PHARMA	TOPICAL
ACTIFAST 50 MG 30 F.C.TAB.	DICLOFENAC POTASSIUM	39.00	https://demov2.egypt.dawatech.com/web/image/product.template/17101/image_1920	NSAID.ACETIC ACID DERIVATIVES	SIGMA > OCTOBER PHARMA	ORAL.SOLID
ACYCLOVIR 400 STADA 35 TABS.	ACYCLOVIR	210.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/acyclovir-stada-400-mg-35-tablets-689532.jpg?v=1698896109	ANTI-VIRAL.NUCLEOSIDE	GLOBAL NAPI PHARMACEUTICALS > STADA	ORAL.SOLID
ACYCLOVIR 800 STADA 35 TABS.	ACYCLOVIR	280.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/acyclovir-stada-800-mg-35-tablets-939342.jpg?v=1736607097	ANTI-VIRAL.NUCLEOSIDE	GLOBAL NAPI PHARMACEUTICALS > STADA	ORAL.SOLID
ADOLOR 10 MG 20 F.C.TABS.	KETOROLAC TROMETHAMINE	40.00	https://demov2.egypt.dawatech.com/web/image/product.template/18249/image_1920	NSAID.ACETIC ACID DERIVATIVES	PHARCO	ORAL.SOLID
ADPORT 1 MG 100 CAPS.	TACROLIMUS	2145.00	https://demov2.egypt.dawatech.com/web/image/product.template/509/image_1920	IMMUNOSUPPRESSANT	SANDOZ > NOVARTIS PHARMA SANDOZ DIVISION	ORAL.SOLID
ADWITINE 30 MG 30 CAPS.	DULOXETINE	243.00	https://demov2.egypt.dawatech.com/web/image/product.template/4563/image_1920	PSYCHIATRIC.ANTIDEPRESSANTS	ADWIA	ORAL.SOLID
ADWITINE 60 MG 30 CAPS.	DULOXETINE	300.00	https://demov2.egypt.dawatech.com/web/image/product.template/6651/image_1920	PSYCHIATRIC.ANTIDEPRESSANTS	ADWIA	ORAL.SOLID
AERIUS 5 MG 20 F.C.TABS.	DESLORATADINE	118.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/aerius-5-mg-20-tablets-614529.jpg?v=1687731892	ANTI-HISTAMINE.ANTI-ALLERGY	SCHERING PLOUGH > RAMCO	ORAL.SOLID
AFTER MEALS 20 CAPS.	CHAMOMILE+GINGER+ANISE+BROMELAIN+FENNEL+PEPPERMINT+PAPAIN	50.00	https://demov2.egypt.dawatech.com/web/image/product.template/14013/image_1920	GIT DISTURBANCES	NERHADOU INTERNATIONAL CO.	ORAL.SOLID
AGIOLAX 12 GRANULES IN SACHETS	ISPAGHULA HUSK+PLANTAGO SEED+SENNA	150.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/agiolax-granules-12-sachets-727347.jpg?v=1696872835	LAXATIVE	CID > VIATRIS HEALTHCARE	EFF
ALBENDAZOLE 400 MG 6 TABS	ALBENDAZOLE	46.00	https://demov2.egypt.dawatech.com/web/image/product.template/14326/image_1920	ANTIHELMINTHIC	PHARMA CURE PHARMACEUTICALS > PHARMA CURE	ORAL.SOLID
ALBUSTIX 8 MG 30 TABS.	CANDESARTAN CILEXETIL	81.00	https://demov2.egypt.dawatech.com/web/image/product.template/15953/image_1920	ANTIHYPERTENSIVE.ARBS	FUTURE PHARMACEUTICAL INDUSTRIES > CONCORD PHARMACEUTICAL INDUSTRIES	ORAL.SOLID
ALCAFTAPRO 0.25% EYE DROPS 3 ML	ALCAFTADINE	95.50	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alcaftapro-025-eye-drops-3-ml-1626182.jpg?v=1758854003	ANTI-HISTAMINE.SECOND-GENERATION	EVA PHARMA	EYE
ALDARA 5% CREAM 12 SACHETS	IMIQUIMOD	879.00	https://demov2.egypt.dawatech.com/web/image/product.template/1308/image_1920	IMMUNE RESPONSE MODIFIER	MEDA AB > ONE PHARMA TECH	TOPICAL
ALDOMET 250 MG 30 TAB	METHYLDOPA	111.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/aldomet-250-mg-30-tablets-164866.jpg?v=1705421081	ANTIHYPERTENSIVES.CENTRAL ALPHA 2 AGONIST	KAHIRA	ORAL.SOLID
ALERGOLIBER 10 MG 20 F.C. TABS.	RUPATADINE	60.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alergoliber-10-mg-20-tablets-711195.jpg?v=1694881033	ANTI-HISTAMINE.SECOND-GENERATION	ATCO PHARMA	ORAL.SOLID
ALFACLINDAMYCIN 300 MG 10 CAPS.	CLINDAMYCIN	69.00	https://demov2.egypt.dawatech.com/web/image/product.template/17066/image_1920	ANTIBIOTIC.LINCOMYCINS	ATCO PHARMA > ROTABIOGEN	ORAL.SOLID
ALGESAL SURACTIVE CREAM 40 GM	DIETHYLAMINE+MYRTECAINE+SALICYLIC ACID	46.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/algesal-suractive-cream-40-gm-276908.jpg?v=1687731894	TOPICAL ANALGESIC	CHEMIPHARM	TOPICAL
ALKAPRESS 10 MG 30 TAB.	AMLODIPINE	108.00	https://demov2.egypt.dawatech.com/web/image/product.template/11277/image_1920	ANTIHYPERTENSIVE.SELECTIVE CALCIUM CHANNEL BLOCKER	HIKMA PHARMA	ORAL.SOLID
ALKAPRESS 5 MG 20 TAB.	AMLODIPINE	58.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alkapress-5-mg-20-tablets-869347.jpg?v=1728527892	ANTIHYPERTENSIVE.SELECTIVE CALCIUM CHANNEL BLOCKER	HIKMA PHARMA	ORAL.SOLID
ALKAPRIDE 50 MG 30 SCORED TABS.	ITOPRIDE	90.00	https://demov2.egypt.dawatech.com/web/image/product.template/10411/image_1920	MOTILITY STIMULANT	FUTURE PHARMACEUTICAL INDUSTRIES (FPI) > UTOPIA	ORAL.SOLID
ALL-VENT SYRUP 125ML	BROMHEXINE+GUAIFENESIN+MENTHOL+TERBUTALINE	34.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/all-vent-syrup-125-ml-400319.jpg?v=1687634952	COUGH PRODUCTS	BORG	ORAL.LIQUID
ALLEAR 5 MG 20 F.C.TABS.	LEVOCETIRIZINE	78.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/allear-5-mg-20-tablets-325322.jpg?v=1696959822	ANTI-HISTAMINE.NON-SEDATIVE.THIRD-GENERATION	WESTERN PHARMACEUTICALS INDUSTRIES	ORAL.SOLID
ALLERBAN S.R. 2 MG 20 TABS.	KETOTIFEN	38.00	https://demov2.egypt.dawatech.com/web/image/product.template/15408/image_1920	ANTI-HISTAMINE.SECOND-GENERATION	MULTI-APEX	ORAL.SOLID
